Time,Ground Truth,Estimation
2019-04-27 23:25:50,27,20.0
2019-04-27 23:26:00,47,24.0
2019-04-27 23:26:10,65,24.0
2019-04-27 23:26:20,71,24.0
2019-04-27 23:26:30,77,24.0
2019-04-27 23:26:40,81,48.0
2019-04-27 23:26:50,78,48.0
2019-04-27 23:27:00,76,32.0
2019-04-27 23:27:10,71,24.0
2019-04-27 23:27:20,73,48.0
2019-04-27 23:27:30,68,48.0
2019-04-27 23:27:40,74,40.0
2019-04-27 23:27:50,68,40.0
2019-04-27 23:28:00,71,48.0
2019-04-27 23:28:10,65,36.0
2019-04-27 23:28:20,68,36.0
2019-04-27 23:28:30,62,24.0
2019-04-27 23:28:40,69,24.0
2019-04-27 23:28:50,68,24.0
2019-04-27 23:29:00,76,24.0
2019-04-27 23:29:10,70,24.0
2019-04-27 23:29:20,67,40.0
2019-04-27 23:29:30,64,48.0
2019-04-27 23:29:40,79,68.0
2019-04-27 23:29:50,77,24.0
2019-04-27 23:30:00,77,24.0
2019-04-27 23:30:10,71,24.0
2019-04-27 23:30:20,73,24.0
2019-04-27 23:30:30,70,24.0
2019-04-27 23:30:40,60,24.0
2019-04-27 23:30:50,60,24.0
2019-04-27 23:31:00,65,24.0
2019-04-27 23:31:10,73,24.0
2019-04-27 23:31:20,72,24.0
2019-04-27 23:31:30,69,24.0
2019-04-27 23:31:40,63,24.0
2019-04-27 23:31:50,66,24.0
2019-04-27 23:32:00,68,32.0
2019-04-27 23:32:10,67,40.0
2019-04-27 23:32:20,64,48.0
2019-04-27 23:32:30,71,24.0
2019-04-27 23:32:40,70,24.0
2019-04-27 23:32:50,65,24.0
2019-04-27 23:33:00,61,24.0
2019-04-27 23:33:10,71,48.0
2019-04-27 23:33:20,74,96.0
2019-04-27 23:33:30,80,96.0
2019-04-27 23:33:40,74,68.0
2019-04-27 23:33:50,70,40.0
2019-04-27 23:34:00,69,40.0
2019-04-27 23:34:10,65,32.0
2019-04-27 23:34:20,65,32.0
2019-04-27 23:34:30,66,32.0
2019-04-27 23:34:40,61,24.0
2019-04-27 23:34:50,71,24.0
2019-04-27 23:35:00,73,24.0
2019-04-27 23:35:10,70,32.0
2019-04-27 23:35:20,64,32.0
2019-04-27 23:35:30,55,24.0
2019-04-27 23:35:40,57,24.0
2019-04-27 23:35:50,64,24.0
